	Address	Noise Count	Latitude	Longitude	Venues
61	32-56 110 STREET	121.0	40.758734	-73.860098	[('LaGuardia Airport (LGA)', 960171), ('SpringHill Suites New York LaGuardia Airport', 1154), ('Rainhas Churrascaria', 979), ('Gabbana', 554), ('World Fair Marina Restaurant & Banquet', 538)]
62	621 WEST 46 STREET	121.0	40.763622	-73.997015	[('Ogilvy & Mather', 47923), ('Pacha NYC', 24661), ('Hudson Terrace', 20277), ('Geometry Global', 9244), ('Landmark Tavern', 5790)]
63	BROADWAY AND DYCKMAN STREET	119.0	40.865536	-73.927268	[('Inwood', 12337), ('Mamajuana Cafe', 5572), ('Papasito Mexican Grill And Agave Bar', 3177), ('Fine Fare', 2838), ('Dyckman Bar', 2789)]
64	34-01 36 AVENUE	117.0	40.755412	-73.927226	"[('Arepas Cafe', 3641), ('Caf Triskell', 1317), (""Veronica's Bar"", 444), ('Havana Puff Cigar Lounge', 370), ('El Barrio Mejor', 320)]"
65	2361 ADAM CLAYTON POWELL BOULEVARD	116.0	40.817268	-73.942257	"[('Abyssinian Baptist Church', 2308), (""McDonald's"", 741), ('Make My Cake', 618), ('Harlem Arcade', 604), ('Sea and Sea Fish Market', 354)]"
66	107 MACDOUGAL STREET	116.0	40.729714	-74.000743	"[('Off The Wagon Bar & Grill', 24888), ('Minetta Tavern', 19662), (""Mamoun's Falafel"", 17473), ('Third Rail Coffee', 14624), ('Saigon Shack', 13882)]"
67	182 W 4TH ST	114.0	40.732437	-74.00193	[('Down the Hatch', 18127), ('Perilla', 9309), ('The Four-Faced Liar', 8918), ('Barrow Street Ale House', 8356), ('Monster', 8075)]
68	116 10 AVENUE	113.0	40.744203	-74.006694	"[('The Park', 27050), ('Equinox', 25680), (""Artichoke Basille's Pizza & Bar"", 18068), ('Avenue', 15223), ('1 OAK', 14077)]"
69	355 WEST 16 STREET	112.0	40.741733	-74.003082	[('Google New York', 70593), ('Dream Downtown', 21976), ('PH-D at Dream Downtown', 15841), ('La Bottega', 12428), ('Tao Downtown', 7850)]
70	231 DYCKMAN STREET	111.0	40.86592	-73.927709	[('Inwood', 12337), ('Mamajuana Cafe', 5572), ('Papasito Mexican Grill And Agave Bar', 3177), ('Fine Fare', 2838), ('Dyckman Bar', 2789)]
71	BROADWAY AND EAST   17 STREET	111.0	40.737133	-73.990329	"[('Starbucks', 33100), ('Pret A Manger', 12419), ('Petco', 11548), ('Chipotle Mexican Grill', 10087), (""McDonald's"", 5702)]"
72	110 BEDFORD AVENUE	108.0	40.71997	-73.955447	"[(""Turkey's Nest"", 9828), ('The Gibson', 8974), ('The Bedford', 8835), ('Allswell', 8726), ('Mugs Ale House', 8219)]"
73	4165 BROADWAY	107.0	40.847111	-73.938182	"[('United Palace Theatre', 4196), ('El Malecon', 3525), ('Pick and Eat', 1489), ('Bravo Supermarkets', 1141), (""Dunkin' Donuts"", 1083)]"
74	87-05 NORTHERN BOULEVARD	106.0	40.756073	-73.880555	[('LaGuardia Airport (LGA)', 960171), ('La Gloria', 2880), ('White Castle', 975), ('Rite Aid', 802), ('Super Compare Foods', 689)]
75	87-50 LEFFERTS BOULEVARD	105.0	40.699518	-73.830664	[('Richmond Hill, NY', 3838), ('Key Food', 1035), ('Puppy Land Inc.', 694), ('Subway', 486), ('MTABus Q10, QM18 (Lefferts Blvd/Jamaica Ave)', 471)]
76	441 AMSTERDAM AVENUE	105.0	40.784554	-73.977287	"[('The Gin Mill', 19611), (""Jake's Dilemma"", 17310), (""Brother Jimmy's BBQ"", 12284), ('The Dead Poet', 11011), ('Peacefood Cafe', 6860)]"
77	64 EAST 1 STREET	104.0	40.723582	-73.989162	"[(""Landmark's Sunshine Cinema"", 23560), ('One & One', 14777), (""Lil' Frankie's"", 11542), ('Macondo', 10301), ('Bluebird Coffee Shop', 9126)]"
78	229 SOUTH 3 STREET	102.0	40.711026	-73.958418	[('Traif', 9131), ('Post Office Whiskey Bar', 6093), ('Passenger Bar', 2520), ('Blue Collar', 2441), ('Xixa', 2065)]
79	102 MACDOUGAL STREET	101.0	40.729338	-74.001032	"[('1849', 11163), ('The Kati Roll Company', 8849), ('The Coffee Bean & Tea Leaf', 6153), ('THELEwala', 3058), (""Percy's Pizza"", 2048)]"
