"Unique Key","Created Date","Complaint Type",Descriptor,"Location Type","Incident Zip","Incident Address","Street Name","Cross Street 1","Cross Street 2","Intersection Street 1","Intersection Street 2","Address Type",City,Latitude,Longitude,Location,count(location)
21500426,"09/23/2011 03:32:44 AM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,10027,"3155 BROADWAY",BROADWAY,"NYCTA SUBWAY","TIEMANN PLACE","","",ADDRESS,"NEW YORK",40.81453554135292,-73.95914444206745,"(40.81453554135292, -73.95914444206745)",131
22560154,"01/20/2012 02:54:42 AM","Noise - Commercial","Loud Music/Party",Store/Commercial,10457,"234 EAST 181 STREET","EAST 181 STREET","ANTHONY AVENUE","RYER AVENUE","","",ADDRESS,BRONX,40.8543476780797,-73.90059962913513,"(40.8543476780797, -73.90059962913513)",131
23871850,"08/25/2012 09:39:40 PM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,11218,"597 CONEY ISLAND AVENUE","CONEY ISLAND AVENUE","LEWIS PLACE","MATTHEWS COURT","","",ADDRESS,BROOKLYN,40.642695194214724,-73.9697750599414,"(40.642695194214724, -73.9697750599414)",130
19853308,"02/17/2011 11:12:23 PM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,10033,"1497 ST NICHOLAS AVENUE","ST NICHOLAS AVENUE","WEST 185 STREET","WEST 186 STREET","","",ADDRESS,"NEW YORK",40.85180411937848,-73.93192828614173,"(40.85180411937848, -73.93192828614173)",129
15746141,"01/16/2010 10:35:44 PM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,11377,"45-07 47 AVENUE","47 AVENUE","45 STREET","46 STREET","","",ADDRESS,WOODSIDE,40.74124964592338,-73.91984748990325,"(40.74124964592338, -73.91984748990325)",128
25095065,"03/01/2013 10:31:58 PM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,11238,"940 FULTON STREET","FULTON STREET","ST JAMES PLACE","CAMBRIDGE PLACE","","",ADDRESS,BROOKLYN,40.6827204207205,-73.96329222525986,"(40.6827204207205, -73.96329222525986)",124
15889829,"01/31/2010 01:47:53 AM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,11103,"42-18 31 AVENUE","31 AVENUE","42 STREET","43 STREET","","",ADDRESS,ASTORIA,40.76045412454783,-73.91527612392564,"(40.76045412454783, -73.91527612392564)",124
21499444,"09/24/2011 12:37:28 AM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,10027,"697 WEST 133 STREET","WEST 133 STREET",BROADWAY,"12 AVENUE","","",ADDRESS,"NEW YORK",40.81986556513444,-73.9585233555893,"(40.81986556513444, -73.9585233555893)",124
15679814,"01/07/2010 11:47:46 PM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,10028,"1254 LEXINGTON AVENUE","LEXINGTON AVENUE","EAST 84 STREET","EAST 85 STREET","","",ADDRESS,"NEW YORK",40.77850170871053,-73.95632492668035,"(40.77850170871053, -73.95632492668035)",123
16361136,"04/02/2010 02:49:14 AM","Noise - Commercial","Loud Music/Party",Club/Bar/Restaurant,11433,"92-06 173 STREET","173 STREET","JAMAICA AVENUE","93 AVENUE","","",ADDRESS,JAMAICA,40.70753055918456,-73.78659995072763,"(40.70753055918456, -73.78659995072763)",122
